title,provider,provider_type,scholarship_type,amount,amount_description,description,official_website,application_link,min_cgpa,min_percentage,max_income,max_age,applicable_state,eligible_gender,minority_only,disability_only,sports_quota,ncc_required,is_verified
"Reliance Foundation Undergraduate Scholarship","Reliance Foundation","private","need",200000.0,"Up to INR 2 Lakhs over the duration of the degree","Supports meritorious students from all fields of study for undergraduate courses in India.","https://www.reliancefoundation.org","https://www.reliancefoundation.org/scholarships",6.5,60.0,800000.0,30,"All","all",false,false,false,false,true
"Tata Capital Pankh Scholarship","Tata Capital","private","merit",20000.0,"Up to 80% of tuition fees or INR 20,000","Supports students studying in Class 11, 12, or pursuing general graduation/professional courses.","https://www.tatacapital.com","https://www.buddy4study.com/page/tata-capital-pankh-scholarship-programme",6.0,60.0,400000.0,26,"All","all",false,false,false,false,true
"Kotak Kanya Scholarship","Kotak Education Foundation","private","minority",150000.0,"INR 1.5 Lakhs per year","Provides financial assistance to meritorious girl students from underprivileged families for professional graduation courses.","https://kotakeducation.org","https://www.buddy4study.com/page/kotak-kanya-scholarship",8.0,85.0,320000.0,22,"All","female",false,false,false,false,true
"HDFC Bank Parivartan's ECS Scholarship","HDFC Bank","private","need",75000.0,"Up to INR 75,000 based on course level","Supports students from underprivileged backgrounds studying in school or pursuing graduation/post-graduation.","https://www.hdfcbank.com","https://www.buddy4study.com/page/hdfc-banks-parivartan-ecss-scholarship",6.0,60.0,250000.0,25,"All","all",false,false,false,false,true
"SBI Asha Scholarship","SBI Foundation","private","need",15000.0,"Flat INR 15,000 for one year","Supports class 6 to 12 students from economically weaker sections.","https://www.sbifoundation.in","https://www.buddy4study.com/page/sbi-asha-scholarship-program",6.0,75.0,300000.0,20,"All","all",false,false,false,false,true
"LIC Golden Jubilee Scholarship","Life Insurance Corporation of India","private","merit",20000.0,"INR 20,000 per annum for professional courses","Supports meritorious students from economically weaker families for higher studies in medicine, engineering, or graduation.","https://www.licindia.in","https://www.licindia.in/web/guest/golden-jubilee-foundation",6.0,60.0,250000.0,22,"All","all",false,false,false,false,true
"ONGC Merit Scholarship","ONGC Foundation","private","minority",48000.0,"INR 48,000 per annum","Supports SC/ST and OBC students pursuing professional courses like Engineering, MBA, MBBS.","https://www.ongcindia.com","https://www.ongcindia.com/web/ongc/sponsorships",6.0,60.0,450000.0,30,"All","all",false,false,false,false,true
"AICTE Pragati Scholarship for Girls","AICTE","government","merit",50000.0,"INR 50,000 per annum","Scheme to promote technical education for girl children.","https://www.aicte-india.org","https://www.aicte-india.org/schemes/students-development-schemes/pragati",7.0,70.0,800000.0,25,"All","female",false,false,false,false,true
"AICTE Saksham Scholarship","AICTE","government","need",50000.0,"INR 50,000 per annum for professional courses","Supports specially-abled students pursuing technical education.","https://www.aicte-india.org","https://www.aicte-india.org/schemes/students-development-schemes/saksham",5.0,50.0,800000.0,30,"All","all",false,true,false,false,true
"AICTE PG Scholarship","AICTE","government","merit",148800.0,"INR 12,400 per month for GATE/GPAT qualified students","Offered to GATE/GPAT qualified students admitted in AICTE approved M.Tech/M.Pharm courses.","https://www.aicte-india.org","https://www.aicte-india.org/schemes/students-development-schemes/pg-scholarship-scheme",7.0,70.0,0.0,30,"All","all",false,false,false,false,true
